"","tvKa","tvV","tvCl","dCldWT","stdev0","nKa-nKa","nV-nKa","nV-nV","nCl-nKa","nCl-nV","nCl-nCl"
"tvKa",0.0015173194,0.015231612,0.0010553039,-0.00074994589,-0.00092588268,0.00015465484,        0,6.1888159e-006,        0,        0,2.5965481e-005
"tvV",0.015231612,7.8511631,0.46658049,0.048699183,-0.48821691,0.0052206225,        0,0.011562198,        0,        0,0.0030966322
"tvCl",0.0010553039,0.46658049,0.12023235,-0.0051060073,-0.088021336,0.0011073988,        0,0.00062527469,        0,        0,-7.1189489e-006
"dCldWT",-0.00074994589,0.048699183,-0.0051060073,0.12747882,0.00093081799,-0.00052352782,        0,-0.00095104711,        0,        0,0.00095135795
"stdev0",-0.00092588268,-0.48821691,-0.088021336,0.00093081799,0.59172847,-0.0037319409,        0,-0.0010773658,        0,        0,0.0025799768
"nKa-nKa",0.00015465484,0.0052206225,0.0011073988,-0.00052352782,-0.0037319409,0.00019339351,        0,8.1631706e-007,        0,        0,-4.2293458e-005
"nV-nKa",        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
"nV-nV",6.1888159e-006,0.011562198,0.00062527469,-0.00095104711,-0.0010773658,8.1631706e-007,        0,0.00051658223,        0,        0,0.00022108999
"nCl-nKa",        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
"nCl-nV",        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
"nCl-nCl",2.5965481e-005,0.0030966322,-7.1189489e-006,0.00095135795,0.0025799768,-4.2293458e-005,        0,0.00022108999,        0,        0,0.00096593419
